['USID', 'cluster_algo', 'cluster_number']
[8456000177, 'KMeans', 2]
[8456000178, 'KMeans', 2]
[8456000179, 'KMeans', 2]
[8456000180, 'KMeans', 2]
[8456000181, 'KMeans', 2]
[8456000182, 'KMeans', 2]
[8456000183, 'KMeans', 2]
[8456000184, 'KMeans', 2]
[8456000185, 'KMeans', 2]
[8456000186, 'KMeans', 2]
[8456000187, 'KMeans', 2]
[8456000188, 'KMeans', 2]
[8456000189, 'KMeans', 2]
[8456000190, 'KMeans', 2]
[8456000191, 'KMeans', 2]
[8456000192, 'KMeans', 2]
[8456000193, 'KMeans', 2]
[8456000194, 'KMeans', 2]
[8456000195, 'KMeans', 2]
[8456000196, 'KMeans', 2]
[8456000197, 'KMeans', 2]
[8456000198, 'KMeans', 2]
[8456000199, 'KMeans', 2]
[8456000200, 'KMeans', 2]
[8456000201, 'KMeans', 2]
[8456000202, 'KMeans', 2]
[8456000203, 'KMeans', 2]
[8456000204, 'KMeans', 2]
[8456000205, 'KMeans', 2]
[8456000206, 'KMeans', 2]
[8456000207, 'KMeans', 2]
[8456000208, 'KMeans', 2]
[8456000209, 'KMeans', 2]
[8456000210, 'KMeans', 2]
[8456000211, 'KMeans', 2]
[8456000212, 'KMeans', 2]
[8456000213, 'KMeans', 2]
[8456000214, 'KMeans', 2]
[8456000215, 'KMeans', 2]
[8456000216, 'KMeans', 2]
[8456000217, 'KMeans', 2]
[8456000218, 'KMeans', 2]
[8456000219, 'KMeans', 2]
[8456000220, 'KMeans', 2]
[8456000221, 'KMeans', 2]
[8456000222, 'KMeans', 2]
[8456000223, 'KMeans', 2]
[8456000224, 'KMeans', 2]
[8456000225, 'KMeans', 2]
[8456000226, 'KMeans', 2]
[8456000227, 'KMeans', 2]
[8456000228, 'KMeans', 2]
[8456000229, 'KMeans', 2]
[8456000230, 'KMeans', 2]
[8456000231, 'KMeans', 2]
[8456000232, 'KMeans', 2]
[8456000233, 'KMeans', 2]
[8456000234, 'KMeans', 2]
[8456000235, 'KMeans', 2]
[8456000236, 'KMeans', 2]
[8456000237, 'KMeans', 2]
[8456000238, 'KMeans', 2]
[8456000239, 'KMeans', 2]
[8456000240, 'KMeans', 2]
[8456000241, 'KMeans', 2]
[8456000242, 'KMeans', 2]
[8456000243, 'KMeans', 2]
[8456000244, 'KMeans', 2]
[8456000245, 'KMeans', 2]
[8456000246, 'KMeans', 2]
[8456000247, 'KMeans', 2]
[8456000248, 'KMeans', 2]
[8456000249, 'KMeans', 2]
[8456000250, 'KMeans', 2]
[8456000251, 'KMeans', 2]
[8456000252, 'KMeans', 2]
[8456000253, 'KMeans', 2]
[8456000254, 'KMeans', 2]
[8456000255, 'KMeans', 2]
[8456000256, 'KMeans', 2]
[8456000257, 'KMeans', 2]
[8456000258, 'KMeans', 2]
[8456000259, 'KMeans', 2]
[8456000260, 'KMeans', 2]
[8456000261, 'KMeans', 2]
[8456000262, 'KMeans', 2]
[8456000263, 'KMeans', 2]
[8456000264, 'KMeans', 2]
[8456000265, 'KMeans', 2]
[8456000266, 'KMeans', 2]
[8456000267, 'KMeans', 2]
[8456000268, 'KMeans', 2]
[8456000269, 'KMeans', 2]
[8456000270, 'KMeans', 2]
[8456000271, 'KMeans', 2]
[8456000272, 'KMeans', 2]
[8456000273, 'KMeans', 2]
[8456000274, 'KMeans', 2]
[8456000275, 'KMeans', 2]
[8456000276, 'KMeans', 2]
[8456000277, 'KMeans', 2]
[8456000278, 'KMeans', 2]
[8456000279, 'KMeans', 2]
[8456000280, 'KMeans', 2]
[8456000281, 'KMeans', 2]
[8456000282, 'KMeans', 2]
[8456000283, 'KMeans', 2]
[8456000284, 'KMeans', 2]
[8456000285, 'KMeans', 2]
[8456000286, 'KMeans', 2]
[8456000287, 'KMeans', 2]
[8456000288, 'KMeans', 2]
[8456000289, 'KMeans', 2]
[8456000290, 'KMeans', 2]
[8456000291, 'KMeans', 2]
[8456000292, 'KMeans', 2]
[8456000293, 'KMeans', 2]
[8456000294, 'KMeans', 2]
[8456000295, 'KMeans', 2]
[8456000296, 'KMeans', 2]
[8456000297, 'KMeans', 2]
[8456000298, 'KMeans', 2]
[8456000299, 'KMeans', 2]
[8456000300, 'KMeans', 2]
[8456000404, 'KMeans', 2]
[8456000405, 'KMeans', 2]
[8456000406, 'KMeans', 2]
[8456000407, 'KMeans', 2]
[8456000408, 'KMeans', 2]
[8456000409, 'KMeans', 2]
[8456000410, 'KMeans', 2]
[8456000411, 'KMeans', 2]
[8456000412, 'KMeans', 2]
[8456000413, 'KMeans', 2]
[8456000414, 'KMeans', 2]
[8456000415, 'KMeans', 2]
[8456000416, 'KMeans', 2]
[8456000417, 'KMeans', 2]
[8456000418, 'KMeans', 2]
[8456000419, 'KMeans', 2]
[8456000420, 'KMeans', 2]
[8456000421, 'KMeans', 2]
[8456000422, 'KMeans', 2]
[8456000423, 'KMeans', 2]
[8456000424, 'KMeans', 2]
[8456000425, 'KMeans', 2]
[8456000426, 'KMeans', 2]
[8456000427, 'KMeans', 2]
[8456000428, 'KMeans', 2]
[8456000429, 'KMeans', 2]
[8456000430, 'KMeans', 2]
[8456000431, 'KMeans', 2]
[8456000432, 'KMeans', 2]
[8456000433, 'KMeans', 2]
[8456000434, 'KMeans', 2]
[8456000435, 'KMeans', 2]
